open,high,low,close,volume,start
104570.77,104730.1,104461.76,104728.41,70.27800069,1970-01-21 05:51:50.400
104502.59,104675.44,104457.01,104570.76,95.14170169,1970-01-21 05:51:46.800
104700.88,104747.16,104401.49,104502.58,192.54407776,1970-01-21 05:51:43.200
105239.05,105255.29,104613.37,104698.9,94.31975575,1970-01-21 05:51:39.600
105087.89,105289.14,105077.76,105240.86,88.28710085,1970-01-21 05:51:36.000
105049.94,105122.36,104915.28,105087.89,86.9460273,1970-01-21 05:51:32.400
104828.45,105305.26,104819.02,105049.95,138.59030003,1970-01-21 05:51:28.800
105034.32,105220,104728.93,104828.45,102.17333121,1970-01-21 05:51:25.200
104753.37,105046.02,104696.54,105038.09,226.65144376,1970-01-21 05:51:21.600
104842.58,104939.24,104662.08,104753.38,141.03333772,1970-01-21 05:51:18.000
104985.77,105100,104792.43,104842.57,178.24164473,1970-01-21 05:51:14.400
104682.5,105110.19,104601.7,104985.77,143.34957381,1970-01-21 05:51:10.800
104968.19,105010.66,104462.25,104684.78,287.98841689,1970-01-21 05:51:07.200
104999,105147.99,104915,104961.64,336.99109004,1970-01-21 05:51:03.600
105098.25,105350,104955.32,104998.99,170.91582372,1970-01-21 05:51:00.000
105510.2,105547.59,104987.17,105098.25,157.0320955,1970-01-21 05:50:56.400
105353.25,105530.1,105131.26,105510.2,152.96196492,1970-01-21 05:50:52.800
105079.16,105611.83,104969.99,105353.24,291.97097837,1970-01-21 05:50:49.200
104794.82,105101.43,104202,105079.15,628.99293683,1970-01-21 05:50:45.600
105109.41,105346.7,104735.98,104793.26,436.02333928,1970-01-21 05:50:42.000
105150,105220.65,104844.27,105109.42,327.98065465,1970-01-21 05:50:38.400
105763.98,105864.49,105136.5,105143.88,225.89379629,1970-01-21 05:50:34.800
105882.8,106058.47,105705.61,105763.98,75.12391162,1970-01-21 05:50:31.200
105503.78,105968.31,105376.67,105882.81,105.9551754,1970-01-21 05:50:27.600
105371.91,105649.77,105371.91,105503.79,74.10853852,1970-01-21 05:50:24.000
105371.44,105541.83,105323.73,105371.91,83.39692419,1970-01-21 05:50:20.400
105426.15,105518.82,105316.7,105371.45,113.2536931,1970-01-21 05:50:16.800
105491.75,105607.56,105413,105426.15,69.73572662,1970-01-21 05:50:13.200
105591.68,105700.56,105467.87,105491.76,56.42764477,1970-01-21 05:50:09.600
105554.13,105827.86,105506.87,105591.68,69.13365554,1970-01-21 05:50:06.000
105659.43,105908.07,105483.69,105554.12,87.65604419,1970-01-21 05:50:02.400
105545.87,105807.46,105478.57,105656.34,125.086469,1970-01-21 05:49:58.800
105443.95,105613.52,105174.39,105544.83,165.78255631,1970-01-21 05:49:55.200
105818.68,105818.73,105325.2,105447.82,165.68617883,1970-01-21 05:49:51.600
105451.53,105979.78,105378.35,105814.64,156.02228072,1970-01-21 05:49:48.000
105811.69,105934.21,105349.27,105451.54,146.83006197,1970-01-21 05:49:44.400
106304.14,106329.95,105431.77,105811.68,366.82487874,1970-01-21 05:49:40.800
106081.03,106521.24,106081.02,106301.7,756.04006584,1970-01-21 05:49:37.200
106029.05,106131.32,105647.52,106081.03,431.14051766,1970-01-21 05:49:33.600
105891.06,106235.49,105820,106029.05,256.75592086,1970-01-21 05:49:30.000
106702.15,106764.98,105864.83,105890.9,499.29957833,1970-01-21 05:49:26.400
106645.17,106901.68,106420.2,106702.16,676.19169098,1970-01-21 05:49:22.800
105500.71,106801.67,105211.91,106653.6,995.61238705,1970-01-21 05:49:19.200
105375.53,105743.15,105094.61,105500.71,210.59978237,1970-01-21 05:49:15.600
105352.02,105500,105289.77,105375.52,135.67724384,1970-01-21 05:49:12.000
105344.83,105422.84,105224.14,105352.02,100.39294208,1970-01-21 05:49:08.400
105242.8,105416.7,105184.8,105344.83,137.11774645,1970-01-21 05:49:04.800
105140.73,105337.95,105099.77,105242.8,70.59561577,1970-01-21 05:49:01.200
105233.05,105306.08,104910.01,105140.75,230.48818414,1970-01-21 05:48:57.600
105486.62,105498.58,105215.25,105233.05,103.49127991,1970-01-21 05:48:54.000
105520.83,105536.66,105271.7,105486.63,69.66259922,1970-01-21 05:48:50.400
105241.73,105533.93,105241.71,105520.74,107.81945142,1970-01-21 05:48:46.800
105556.2,105585.82,105178.45,105245.93,138.98080461,1970-01-21 05:48:43.200
105676.75,105787.14,105407.57,105556.21,120.14602903,1970-01-21 05:48:39.600
106547.19,106597.45,105636.11,105676.76,164.5259179,1970-01-21 05:48:36.000
106348.54,106577.55,106178.01,106547.19,165.59847538,1970-01-21 05:48:32.400
105909.79,106474.89,105798.68,106347.66,280.9601447,1970-01-21 05:48:28.800
105752.08,106000,105616.01,105904.94,274.21138969,1970-01-21 05:48:25.200
105011.99,105870,105000.91,105745,460.76029395,1970-01-21 05:48:21.600
104952.38,105185.17,104632.82,105011.98,194.58700713,1970-01-21 05:48:18.000
104466.81,105043.47,104466.81,104952.39,252.57807649,1970-01-21 05:48:14.400
104401.83,104560.25,104086.41,104470.22,328.69719565,1970-01-21 05:48:10.800
104447.72,104798.86,104248.01,104401.82,638.79961642,1970-01-21 05:48:07.200
104323.47,104542.43,104131.01,104447.73,249.67247483,1970-01-21 05:48:03.600
104499.99,104500,104076.48,104320.97,177.26431919,1970-01-21 05:48:00.000
104212.18,104635.84,103917.5,104500,300.36452292,1970-01-21 05:47:56.400
103847.03,104740.14,103685.23,104212.2,386.79533012,1970-01-21 05:47:52.800
104246.38,104603.19,103722,103862.16,484.20212704,1970-01-21 05:47:49.200
104080.89,104328.3,103899.76,104246.37,183.73390481,1970-01-21 05:47:45.600
